sample_index,mcm3,ifitm2,ifitm1,cd9,ptma,zwint,snrpn,slc25a53,snap47,tecr
63576_GSM1552899_SRR1660598,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552900_SRR1660599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552901_SRR1660600,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552902_SRR1660601,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552903_SRR1660602,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552904_SRR1660603,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552905_SRR1660604,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552906_SRR1660605,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552907_SRR1660606,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552908_SRR1660607,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552909_SRR1660608,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552910_SRR1660609,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552911_SRR1660610,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552912_SRR1660611,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552913_SRR1660612,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552914_SRR1660613,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552915_SRR1660614,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552916_SRR1660615,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552917_SRR1660616,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552918_SRR1660617,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552919_SRR1660618,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552920_SRR1660619,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552921_SRR1660620,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552922_SRR1660621,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552923_SRR1660622,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552924_SRR1660623,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552925_SRR1660624,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552926_SRR1660625,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552927_SRR1660626,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552928_SRR1660627,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
